Amount,Recepient,Date,Time,Timestamp,Domain,Location,Latitude,Longitude,Classification
410,Gourmet Burgers,23-06-2023,19:21:43,23-06-2023 19:21,Food,Nerul,19.035578,73.02282,Legit
198,MOD SEAWOOD,08-06-2023,17:05:46,08-06-2023 17:05,Food,Nerul,19.035578,73.02282,Legit
112,Crisfood Online LLP,04-06-2023,21:09:22,04-06-2023 21:09,Food,Mumbra,19.186418,73.021341,Legit
49,Parijat Delish Food,06-05-2023,12:43:16,06-05-2023 12:43,Food,Nerul,19.035578,73.02282,Legit
59,Parijat Delish Food Store,27-04-2023,11:07:48,27-04-2023 11:07,Food,Nerul,19.035578,73.02282,Legit
44,Parijat Delish Food Store,25-04-2023,14:22:47,25-04-2023 14:22,Food,Nerul,19.035578,73.02282,Legit
313,KFC SEAWOODS,24-04-2023,16:03:00,24-04-2023 16:03,Food,Nerul,19.035578,73.02282,Legit
399,Gourmet Burgers,21-04-2023,16:37:12,21-04-2023 16:37,Food,Nerul,19.035578,73.02282,Legit
24,Parijat Delish Food Store,20-04-2023,11:29:16,20-04-2023 11:29,Food,Nerul,19.035578,73.02282,Legit
56,Parijat Delish Food,18-04-2023,15:25:33,18-04-2023 15:25,Food,Nerul,19.035578,73.02282,Legit
119,Parijat Delish Food Store,13-04-2023,14:45:22,13-04-2023 14:45,Food,Nerul,19.035578,73.02282,Legit
79,MC DONALDS,13-04-2023,14:06:05,13-04-2023 14:06,Food,Nerul,19.035578,73.02282,Legit
178.98,MC DONALDS,13-04-2023,14:02:52,13-04-2023 14:02,Food,Nerul,19.035578,73.02282,Legit
30,Juice Centre,09-04-2023,20:53:53,09-04-2023 20:53,Food,Nerul,19.035578,73.02282,Legit
291,Swiggy,09-04-2023,12:18:35,09-04-2023 12:18,Food,Nerul,19.035578,73.02282,Legit
90,Cake Factory,08-04-2023,22:18:04,08-04-2023 22:18,Food,Nerul,19.035578,73.02282,Legit
441,SWIGGY,08-04-2023,18:49:55,08-04-2023 18:49,Food,Nerul,19.035578,73.02282,Legit
24,Parijat Delish Food Store,05-04-2023,16:58:36,05-04-2023 16:58,Food,Nerul,19.035578,73.02282,Legit
210,Health Juice,02-04-2023,23:07:32,02-04-2023 23:07,Food,Nerul,19.035578,73.02282,Legit
35,Parijat Delish Food Store,02-04-2023,15:08:33,02-04-2023 15:08,Food,Nerul,19.035578,73.02282,Legit
180,Fresh Juice And Snac,29-03-2023,16:59:00,29-03-2023 16:59,Food,Nerul,19.035578,73.02282,Legit
35,Parijat Delish Food Store,29-03-2023,11:35:50,29-03-2023 11:35,Food,Nerul,19.035578,73.02282,Legit
210,Health Juice,28-03-2023,19:24:50,28-03-2023 19:24,Food,Nerul,19.035578,73.02282,Legit
79,MC DONALDS,28-03-2023,18:06:31,28-03-2023 18:06,Food,Nerul,19.035578,73.02282,Legit
79,MC DONALDS,28-03-2023,18:02:02,28-03-2023 18:02,Food,Nerul,19.035578,73.02282,Legit
50,DOMINOS PIZZA,27-03-2023,15:46:43,27-03-2023 15:46,Food,Nerul,19.035578,73.02282,Legit
30,DOMINOS PIZZA,27-03-2023,15:40:34,27-03-2023 15:40,Food,Nerul,19.035578,73.02282,Legit
114.45,DOMINOS PIZZA,27-03-2023,15:24:44,27-03-2023 15:24,Food,Nerul,19.035578,73.02282,Legit
24,Parijat Delish Food Store,24-03-2023,12:22:04,24-03-2023 12:22,Food,Nerul,19.035578,73.02282,Legit
79,McDonalds,23-03-2023,14:47:43,23-03-2023 14:47,Food,Nerul,19.035578,73.02282,Legit
290,Health Juice,22-03-2023,21:23:29,22-03-2023 21:23,Food,Nerul,19.035578,73.02282,Legit
25,Parijat Delish Food Store,21-03-2023,16:17:18,21-03-2023 16:17,Food,Nerul,19.035578,73.02282,Legit
178.98,MC DONALDS,18-03-2023,16:56:59,18-03-2023 16:56,Food,Nerul,19.035578,73.02282,Legit
83,KFC SAPPHIRE,18-03-2023,16:40:37,18-03-2023 16:40,Food,Nerul,19.035578,73.02282,Legit
80,Jeevan Engineering Canteen,17-03-2023,15:03:03,17-03-2023 15:03,Food,Nerul,19.035578,73.02282,Legit
584,DOMINOS PIZZA,16-03-2023,17:07:03,16-03-2023 17:07,Food,Nerul,19.035578,73.02282,Legit
64,Parijat Delish Food Store,13-03-2023,15:13:05,13-03-2023 15:13,Food,Nerul,19.035578,73.02282,Legit
158,Parijat Delish Food Store,11-03-2023,13:59:51,11-03-2023 13:59,Food,Nerul,19.035578,73.02282,Legit
178.98,MC DONALDS,10-03-2023,14:20:37,10-03-2023 14:20,Food,Nerul,19.035578,73.02282,Legit
225,Sai Siddhi Roll N Snack,09-03-2023,16:56:10,09-03-2023 16:56,Food,Nerul,19.035578,73.02282,Legit
425,Blackbox Unlimited,08-03-2023,16:45:13,08-03-2023 16:45,Food,Nerul,19.035578,73.02282,Legit
128.98,MC DONALDS,06-03-2023,16:30:11,06-03-2023 16:30,Food,Nerul,19.035578,73.02282,Legit
54,Parijat Delish Food Store,06-03-2023,09:26:46,06-03-2023 09:26,Food,Nerul,19.035578,73.02282,Legit
109,MC DONALDS,02-03-2023,15:21:57,02-03-2023 15:21,Food,Nerul,19.035578,73.02282,Legit
299,MC DONALDS,02-03-2023,15:20:09,02-03-2023 15:20,Food,Nerul,19.035578,73.02282,Legit
20,Parijat Delish Food Store,02-03-2023,14:42:38,02-03-2023 14:42,Food,Nerul,19.035578,73.02282,Legit
228.99,MC DONALDS,01-03-2023,17:43:54,01-03-2023 17:43,Food,Nerul,19.035578,73.02282,Legit
24,Parijat Delish Food Store,27-02-2023,16:35:43,27-02-2023 16:35,Food,Nerul,19.035578,73.02282,Legit
64,Parijat Delish Food Store,27-02-2023,13:45:41,27-02-2023 13:45,Food,Nerul,19.035578,73.02282,Legit
155,Bakers Treat Nerul,24-02-2023,17:39:15,24-02-2023 17:39,Food,Nerul,19.035578,73.02282,Legit
160,Real Value Icecream Parlour,14-02-2023,16:49:57,14-02-2023 16:49,Food,Nerul,19.035578,73.02282,Legit
409,KFC SAPPHIRE INORBIT MALL,30-01-2023,15:11:09,30-01-2023 15:11,Food,Nerul,19.035578,73.02282,Legit
95,Parijat Delish Food,27-01-2023,22:12:47,27-01-2023 22:12,Food,Nerul,19.035578,73.02282,Legit
160,Jeevan Engineering Canteen,27-01-2023,15:25:58,27-01-2023 15:25,Food,Nerul,19.035578,73.02282,Legit
160,Jeevan Engineering Canteen,27-01-2023,15:10:39,27-01-2023 15:10,Food,Nerul,19.035578,73.02282,Legit
105,Krystal Gourmet Terna Hospital,23-01-2023,13:53:14,23-01-2023 13:53,Food,Nerul,19.035578,73.02282,Legit
80,Jeevan Engineering Canteen,16-01-2023,13:43:56,16-01-2023 13:43,Food,Nerul,19.035578,73.02282,Legit
513,KFC SAPPHIRE,13-01-2023,13:56:48,13-01-2023 13:56,Food,Nerul,19.035578,73.02282,Legit
312,KFC SEAWOODS,02-12-2022,18:44:49,02-12-2022 18:44,Food,Nerul,19.035578,73.02282,Legit
95,Krystal Gourmet Terna Hospital,17-10-2022,12:47:37,17-10-2022 12:47,Food,Nerul,19.035578,73.02282,Legit
20,Krystal Gourmet Terna Hospital,29-09-2022,13:47:02,29-09-2022 13:47,Food,Nerul,19.035578,73.02282,Legit
20,Krystal Gourmet Terna Hospital,04-08-2022,13:48:39,04-08-2022 13:48,Food,Nerul,19.035578,73.02282,Legit
80,Saibaan Family Restaurant,21-05-2022,18:32:58,21-05-2022 18:32,Food,Mumbra,19.186418,73.021341,Legit
50,Hot Schezwan Delight,15-04-2022,22:34:52,15-04-2022 22:34,Food,Mumbra,19.186418,73.021341,Legit
75,Parijat Delish Food,08-04-2022,18:56:43,08-04-2022 18:56,Food,Nerul,19.035578,73.02282,Legit
70,Parijat Delish Food,08-04-2022,18:56:28,08-04-2022 18:56,Food,Nerul,19.035578,73.02282,Legit
80,The Cafe Hangout,07-04-2022,19:24:57,07-04-2022 19:24,Food,Nerul,19.035578,73.02282,Legit
45,Parijat Delish Food,07-04-2022,16:10:10,07-04-2022 16:10,Food,Nerul,19.035578,73.02282,Legit
40,Parijat Delish Food,03-04-2022,21:27:58,03-04-2022 21:27,Food,Nerul,19.035578,73.02282,Legit
10,Hotel Dwarka,31-03-2022,18:15:39,31-03-2022 18:15,Food,Nerul,19.035578,73.02282,Legit
65,Krystal Gourmet Terna Hospital,16-03-2022,13:18:27,16-03-2022 13:18,Food,Nerul,19.035578,73.02282,Legit
30,Hotel Dwarka,14-03-2022,16:20:47,14-03-2022 16:20,Food,Nerul,19.035578,73.02282,Legit
20,Krystal Gourmet Terna Hospital,09-03-2022,13:04:31,09-03-2022 13:04,Food,Nerul,19.035578,73.02282,Legit
95,Krystal Gourmet Terna Hospital,09-03-2022,12:46:43,09-03-2022 12:46,Food,Nerul,19.035578,73.02282,Legit
110,Hot Schezwan Delight,27-02-2022,22:45:14,27-02-2022 22:45,Food,Mumbra,19.186418,73.021341,Legit
584,McDonalds,17-02-2022,16:20:56,17-02-2022 16:20,Food,Nerul,19.035578,73.02282,Legit
807,KFC SAPPHIRE,06-02-2022,19:01:12,06-02-2022 19:01,Food,Nerul,19.035578,73.02282,Legit
10,thouhara bakery,26-01-2022,22:10:39,26-01-2022 22:10,Food,Nerul,19.035578,73.02282,Legit
20,Kesar Amruttulya,10-01-2022,20:57:16,10-01-2022 20:57,Food,Nerul,19.035578,73.02282,Legit
180,SAIFE BAKE SHOP,26-10-2021,16:56:52,26-10-2021 16:56,Food,Nerul,19.035578,73.02282,Legit
2000,Krystal Gourmet Terna Hospital,29-09-2022,03:47:02,29-09-2022 03:47,Food,Nerul,19.035578,73.02282,Fraud
2500,Krystal Gourmet Terna Hospital,04-08-2022,01:48:39,04-08-2022 01:48,Food,Nerul,19.035578,73.02282,Fraud
8000,Saibaan Family Restaurant,21-05-2022,06:32:58,21-05-2022 06:32,Food,Mumbra,19.186418,73.021341,Fraud
5000,Hot Schezwan Delight,15-04-2022,04:34:52,15-04-2022 04:34,Food,Mumbra,19.186418,73.021341,Fraud
7500,Parijat Delish Food,08-04-2022,06:56:43,08-04-2022 06:56,Food,Nerul,19.035578,73.02282,Fraud
15000,Parijat Delish Food,08-04-2022,18:56:28,08-04-2022 18:56,Food,Nerul,19.035578,73.02282,Fraud
8000,The Cafe Hangout,07-04-2022,03:24:57,07-04-2022 03:24,Food,Nerul,19.035578,73.02282,Fraud
4500,Parijat Delish Food,07-04-2022,16:10:10,07-04-2022 16:10,Food,Nerul,19.035578,73.02282,Fraud
10000,Parijat Delish Food,03-04-2022,21:27:58,03-04-2022 21:27,Food,Nerul,19.035578,73.02282,Fraud
12000,Hotel Dwarka,31-03-2022,18:15:39,31-03-2022 18:15,Food,Nerul,19.035578,73.02282,Fraud
14000,Krystal Gourmet Terna Hospital,16-03-2022,13:18:27,16-03-2022 13:18,Food,Nerul,19.035578,73.02282,Fraud
10000,Hotel Dwarka,14-03-2022,16:20:47,14-03-2022 16:20,Food,Nerul,19.035578,73.02282,Fraud
200,Krystal Gourmet Terna Hospital,09-03-2022,01:04:31,09-03-2022 01:04,Food,Nerul,19.035578,73.02282,Fraud
95,Krystal Gourmet Terna Hospital,09-03-2022,00:46:43,09-03-2022 00:46,Food,Nerul,19.035578,73.02282,Fraud
1100,Hot Schezwan Delight,27-02-2022,10:45:14,27-02-2022 10:45,Food,Mumbra,19.186418,73.021341,Fraud
584,McDonalds,17-02-2022,04:20:56,17-02-2022 04:20,Food,Nerul,19.035578,73.02282,Fraud
807,KFC SAPPHIRE,06-02-2022,19:01:12,06-02-2022 19:01,Food,Nerul,19.035578,73.02282,Fraud
10,thouhara bakery,26-01-2022,02:10:39,26-01-2022 02:10,Food,Nerul,19.035578,73.02282,Fraud
20,Kesar Amruttulya,10-01-2022,05:57:16,10-01-2022 05:57,Food,Nerul,19.035578,73.02282,Fraud
180,SAIFE BAKE SHOP,26-10-2021,04:56:52,26-10-2021 04:56,Food,Nerul,19.035578,73.02282,Fraud
1100,Hot Schezwan Delight,27-02-2022,02:45:14,27-02-2022 02:45,Food,Mumbra,19.186418,73.021341,Fraud
100,Hot Schezwan Delight,27-02-2022,03:45:14,27-02-2022 03:45,Food,Mumbra,19.186418,73.021341,Fraud
10,Hot Schezwan Delight,27-02-2022,03:15:14,27-02-2022 03:15,Food,Mumbra,19.186418,73.021341,Fraud
